"CU_ID","Species","Stock","Year","DataType","RelLBM","AbsLBM","LongTrend","PercChange","ProbDeclBelowLBM","Percentile","RelUBM","AbsUBM","RelAbd","AbsAbd","NumStdMetrics"
"CU-19","Sockeye","Anderson_Seton_ES",2013,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-19","Sockeye","Anderson_Seton_ES",2014,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-19","Sockeye","Anderson_Seton_ES",2015,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-19","Sockeye","Anderson_Seton_ES",2016,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-19","Sockeye","Anderson_Seton_ES",2017,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2018,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-19","Sockeye","Anderson_Seton_ES",2019,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-1","Sockeye","Bowron_ES",1995,"Abs_Abd","Red","Amber","Amber","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",1996,"Abs_Abd","Amber","Amber","Amber","Red",NA,"Red","Amber","Amber","Amber","Amber",4
"CU-1","Sockeye","Bowron_ES",1997,"Abs_Abd","Amber","Amber","Green","Red",NA,"Amber","Amber","Amber","Amber","Amber",4
"CU-1","Sockeye","Bowron_ES",1998,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-1","Sockeye","Bowron_ES",1999,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-1","Sockeye","Bowron_ES",2000,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-1","Sockeye","Bowron_ES",2001,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-1","Sockeye","Bowron_ES",2002,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-1","Sockeye","Bowron_ES",2003,"Abs_Abd","Amber","Amber","Green","Green",NA,"Green","Amber","Amber","Amber","Amber",4
"CU-1","Sockeye","Bowron_ES",2004,"Abs_Abd","Red","Amber","Green","Green",NA,"Green","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2005,"Abs_Abd","Red","Amber","Green","Green",NA,"Amber","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2006,"Abs_Abd","Red","Amber","Amber","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2007,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2008,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2009,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2010,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2011,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2012,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2013,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2014,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2015,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2016,"Abs_Abd","Red","Amber","Red","Green",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2017,"Abs_Abd","Red","Amber","Red","Green",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2018,"Abs_Abd","Red","Amber","Red","Green",NA,"Red","Red","Amber","Red","Amber",4
"CU-1","Sockeye","Bowron_ES",2019,"Abs_Abd","Red","Red","Red","Red",NA,"Red","Red","Red","Red","Red",4
"CU-6","Sockeye","Chilko_S_ES",1995,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",1996,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",1997,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",1998,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",1999,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2000,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2001,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2002,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2003,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2004,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-6","Sockeye","Chilko_S_ES",2005,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-6","Sockeye","Chilko_S_ES",2006,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-6","Sockeye","Chilko_S_ES",2007,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-6","Sockeye","Chilko_S_ES",2008,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-6","Sockeye","Chilko_S_ES",2009,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-6","Sockeye","Chilko_S_ES",2010,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-6","Sockeye","Chilko_S_ES",2011,"Abs_Abd","Green","Green","Green","Red",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2012,"Abs_Abd","Green","Green","Green","Red",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2013,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2014,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2015,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2016,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2017,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-6","Sockeye","Chilko_S_ES",2018,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-6","Sockeye","Chilko_S_ES",2019,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-17","Sockeye","Chilliwack_ES",1995,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CU-17","Sockeye","Chilliwack_ES",1996,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CU-17","Sockeye","Chilliwack_ES",1997,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CU-17","Sockeye","Chilliwack_ES",1998,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CU-17","Sockeye","Chilliwack_ES",1999,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CU-17","Sockeye","Chilliwack_ES",2000,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CU-17","Sockeye","Chilliwack_ES",2001,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CU-17","Sockeye","Chilliwack_ES",2002,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CU-17","Sockeye","Chilliwack_ES",2003,"Abs_Abd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CU-17","Sockeye","Chilliwack_ES",2004,"Abs_Abd","Amber","Green",NA,NA,NA,NA,"Amber","Green","Amber","Green",2
"CU-17","Sockeye","Chilliwack_ES",2005,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-17","Sockeye","Chilliwack_ES",2006,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-17","Sockeye","Chilliwack_ES",2007,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-17","Sockeye","Chilliwack_ES",2008,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-17","Sockeye","Chilliwack_ES",2009,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-17","Sockeye","Chilliwack_ES",2010,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-17","Sockeye","Chilliwack_ES",2011,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-17","Sockeye","Chilliwack_ES",2012,"Abs_Abd","Amber","Amber",NA,NA,NA,NA,"Amber","Amber","Amber","Amber",2
"CU-17","Sockeye","Chilliwack_ES",2013,"Abs_Abd","Amber","Green",NA,NA,NA,NA,"Amber","Green","Amber","Green",2
"CU-17","Sockeye","Chilliwack_ES",2014,"Abs_Abd","Amber","Green",NA,NA,NA,NA,"Amber","Green","Amber","Green",2
"CU-17","Sockeye","Chilliwack_ES",2015,"Abs_Abd","Amber","Green",NA,"Green",NA,NA,"Amber","Green","Amber","Green",3
"CU-17","Sockeye","Chilliwack_ES",2016,"Abs_Abd","Amber","Green",NA,"Green",NA,NA,"Amber","Green","Amber","Green",3
"CU-17","Sockeye","Chilliwack_ES",2017,"Abs_Abd","Amber","Amber",NA,"Green",NA,NA,"Amber","Amber","Amber","Amber",3
"CU-17","Sockeye","Chilliwack_ES",2018,"Abs_Abd","Red","Amber","Green","Green",NA,"Green","Red","Amber","Red","Amber",4
"CU-17","Sockeye","Chilliwack_ES",2019,"Abs_Abd","Red","Amber","Green","Green",NA,"Amber","Red","Amber","Red","Amber",4
"CU-7","Sockeye","Fran_Fras_S",1995,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",1996,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-7","Sockeye","Fran_Fras_S",1997,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",1998,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-7","Sockeye","Fran_Fras_S",1999,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-7","Sockeye","Fran_Fras_S",2000,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-7","Sockeye","Fran_Fras_S",2001,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-7","Sockeye","Fran_Fras_S",2002,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-7","Sockeye","Fran_Fras_S",2003,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-7","Sockeye","Fran_Fras_S",2004,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-7","Sockeye","Fran_Fras_S",2005,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-7","Sockeye","Fran_Fras_S",2006,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2007,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2008,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2009,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2010,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2011,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2012,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2013,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2014,"Abs_Abd","Amber","Green","Green","Red",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2015,"Abs_Abd","Green","Green","Green","Amber",NA,"Green","Green","Green","Green","Green",4
"CU-7","Sockeye","Fran_Fras_S",2016,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2017,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2018,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-7","Sockeye","Fran_Fras_S",2019,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-13","Sockeye","Harrison_DS_L",1995,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",1996,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",1997,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",1998,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",1999,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2000,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2001,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2002,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2003,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2004,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2005,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2006,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2007,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2008,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2009,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2010,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2011,"Rel_Idx",NA,NA,"Green","Green",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2012,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2013,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2014,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2015,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2016,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2017,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2018,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2
"CU-13","Sockeye","Harrison_DS_L",2019,"Rel_Idx",NA,NA,"Green","Red",NA,"Green",NA,NA,NA,NA,2
"CU-9","Sockeye","Harrison_R",1995,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-9","Sockeye","Harrison_R",1996,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-9","Sockeye","Harrison_R",1997,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-9","Sockeye","Harrison_R",1998,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-9","Sockeye","Harrison_R",1999,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-9","Sockeye","Harrison_R",2000,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-9","Sockeye","Harrison_R",2001,"Abs_Abd","Red","Amber",NA,NA,NA,NA,"Red","Amber","Red","Amber",2
"CU-9","Sockeye","Harrison_R",2002,"Abs_Abd","Red","Green",NA,NA,NA,NA,"Red","Green","Red","Green",2
"CU-9","Sockeye","Harrison_R",2003,"Abs_Abd","Red","Green",NA,NA,NA,NA,"Red","Green","Red","Green",2
"CU-9","Sockeye","Harrison_R",2004,"Abs_Abd","Red","Green",NA,"Green",NA,NA,"Red","Green","Red","Green",3
"CU-9","Sockeye","Harrison_R",2005,"Abs_Abd","Red","Green",NA,"Green",NA,NA,"Red","Green","Red","Green",3
"CU-9","Sockeye","Harrison_R",2006,"Abs_Abd","Red","Green",NA,"Green",NA,NA,"Red","Green","Red","Green",3
"CU-9","Sockeye","Harrison_R",2007,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-9","Sockeye","Harrison_R",2008,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-9","Sockeye","Harrison_R",2009,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-9","Sockeye","Harrison_R",2010,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-9","Sockeye","Harrison_R",2011,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-9","Sockeye","Harrison_R",2012,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-9","Sockeye","Harrison_R",2013,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-9","Sockeye","Harrison_R",2014,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-9","Sockeye","Harrison_R",2015,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-9","Sockeye","Harrison_R",2016,"Abs_Abd","Green","Green","Green","Green",NA,"Green","Green","Green","Green","Green",4
"CU-9","Sockeye","Harrison_R",2017,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-9","Sockeye","Harrison_R",2018,"Abs_Abd","Amber","Green","Green","Green",NA,"Green","Amber","Green","Amber","Green",4
"CU-9","Sockeye","Harrison_R",2019,"Abs_Abd","Red","Green","Green","Red",NA,"Green","Red","Green","Red","Green",4
"CU-11","Sockeye","Harrison_US_L",1995,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",1996,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",1997,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",1998,"Abs_Abd","Amber","Green","Green","Amber",NA,"Amber","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",1999,"Abs_Abd","Amber","Green","Green","Green",NA,"Amber","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2000,"Abs_Abd","Amber","Green","Green","Amber",NA,"Amber","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2001,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2002,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2003,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2004,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2005,"Abs_Abd","Amber","Green","Green","Red",NA,"Amber","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2006,"Abs_Abd","Amber","Green","Green","Amber",NA,"Amber","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2007,"Abs_Abd","Amber","Green","Green","Green",NA,"Amber","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2008,"Abs_Abd","Amber","Green","Green","Green",NA,"Amber","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2009,"Abs_Abd","Amber","Green","Amber","Red",NA,"Red","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2010,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2011,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2012,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2013,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2014,"Abs_Abd","Amber","Green","Red","Red",NA,"Red","Amber","Green","Amber","Green",4
"CU-11","Sockeye","Harrison_US_L",2015,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-11","Sockeye","Harrison_US_L",2016,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-11","Sockeye","Harrison_US_L",2017,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
"CU-11","Sockeye","Harrison_US_L",2018,"Abs_Abd","Red","Amber","Red","Red",NA,"Red","Red","Amber","Red","Amber",4
